"run_id","job_id","job_name","status","conclusion","started_at","completed_at","duration_s","runner_name","run_attempt"
17872044666,50827327124,"lint","completed","success","2025-09-19T23:29:14Z","2025-09-19T23:29:37Z",23,"GitHub Actions 1000000103",1
17872377485,50828221219,"lint","completed","failure","2025-09-19T23:59:23Z","2025-09-19T23:59:45Z",22,"GitHub Actions 1000000106",1
17872377485,50828221223,"build","completed","success","2025-09-19T23:59:19Z","2025-09-20T00:09:15Z",596,"GitHub Actions 1000000105",1
17873085174,50830132709,"lint","completed","failure","2025-09-20T00:55:45Z","2025-09-20T00:56:08Z",23,"GitHub Actions 1000000107",1
17873085174,50830132717,"build","completed","success","2025-09-20T00:55:44Z","2025-09-20T01:05:36Z",592,"GitHub Actions 1000000108",1
17873157274,50830314447,"lint","completed","failure","2025-09-20T01:01:44Z","2025-09-20T01:02:07Z",23,"GitHub Actions 1000000110",1
17873157274,50830314448,"build","completed","success","2025-09-20T01:01:45Z","2025-09-20T01:11:49Z",604,"GitHub Actions 1000000109",1
17873242571,50830521773,"lint","completed","failure","2025-09-20T01:08:37Z","2025-09-20T01:08:58Z",21,"GitHub Actions 1000000112",1
17873242571,50830521774,"build","completed","success","2025-09-20T01:08:35Z","2025-09-20T01:18:34Z",599,"GitHub Actions 1000000111",1
17873261587,50830569235,"lint","completed","success","2025-09-20T01:10:13Z","2025-09-20T01:10:37Z",24,"GitHub Actions 1000000114",1
17873261587,50830569237,"build","completed","cancelled","2025-09-20T01:10:16Z","2025-09-20T01:17:02Z",406,"GitHub Actions 1000000113",1
17873309485,50830684896,"lint","completed","success","2025-09-20T01:14:23Z","2025-09-20T01:14:43Z",20,"GitHub Actions 1000000115",1
17873309485,50830684900,"build","completed","success","2025-09-20T01:14:24Z","2025-09-20T01:24:30Z",606,"GitHub Actions 1000000116",1
17874251557,50833049868,"lint","completed","failure","2025-09-20T02:42:23Z","2025-09-20T02:42:46Z",23,"GitHub Actions 1000000117",1
17874251557,50833049873,"build","completed","failure","2025-09-20T02:42:23Z","2025-09-20T02:51:29Z",546,"GitHub Actions 1000000118",1
17874315596,50833230788,"lint","completed","success","2025-09-20T02:48:37Z","2025-09-20T02:48:59Z",22,"GitHub Actions 1000000119",1
17874315596,50833230791,"build","completed","failure","2025-09-20T02:48:37Z","2025-09-20T02:57:54Z",557,"GitHub Actions 1000000120",1
17884297712,50855994124,"lint","completed","success","2025-09-20T20:09:11Z","2025-09-20T20:09:31Z",20,"GitHub Actions 1000000121",1
17884297712,50855994156,"build","completed","failure","2025-09-20T20:09:14Z","2025-09-20T20:18:07Z",533,"GitHub Actions 1000000122",1
